## compare · e173 (b-muhy7ny0) against e173-base (b-muhyz9be)

Band = max(rel, noise × baseline run-to-run spread) × baseline + abs (scorecard.budget.json `kinds`). REGRESS blocks the merge; `info` rows never fail.

| row | baseline | now | Δ | band | verdict |
| pine-hollow/phone/warm.playMs | 2.13 | 2.23 | +4.7 % | ±0.36 | pass |
| pine-hollow/phone/warm.requests | 248 | 248 | +0.0 % | ±7 | pass |
| switch/desktop/1.driftwood-isle>nalati-grasslands.firstFrameMs | 4.66 | 4.61 | -1.1 % | ±0.62 | pass |
| switch/desktop/1.driftwood-isle>nalati-grasslands.glAllTexBytes | 525.64 | 415.92 | -20.9 % | ±28.28 | better |
| switch/desktop/1.driftwood-isle>nalati-grasslands.glTexBytes | 450.23 | 340.51 | -24.4 % | ±24.51 | better |
| switch/desktop/1.driftwood-isle>nalati-grasslands.heapBytes | 70.55 | 70.56 | +0.0 % | ±5.53 | pass |
| switch/desktop/1.driftwood-isle>nalati-grasslands.loadingShown | 1 | 1 | +0.0 % |  | info |
| switch/desktop/1.driftwood-isle>nalati-grasslands.longTaskMaxMs | 1150 | 1148 | -0.2 % | ±222.5 | pass |
| switch/desktop/1.driftwood-isle>nalati-grasslands.ms | 4.59 | 4.54 | -1.2 % | ±0.61 | pass |
| switch/desktop/1.driftwood-isle>nalati-grasslands.navigated | 0 | 0 | +0 |  | info |
| switch/desktop/1.driftwood-isle>nalati-grasslands.netBytes | 0.00 | 0.00 | +0.00 | ±0.06 | pass |
| switch/desktop/2.nalati-grasslands>driftwood-isle.firstFrameMs | 2.07 | 2.03 | -1.7 % | ±0.36 | pass |
| switch/desktop/2.nalati-grasslands>driftwood-isle.glAllTexBytes | 377.35 | 340.85 | -9.7 % | ±20.87 | better |
| switch/desktop/2.nalati-grasslands>driftwood-isle.glTexBytes | 370.15 | 333.65 | -9.9 % | ±20.51 | better |
| switch/desktop/2.nalati-grasslands>driftwood-isle.heapBytes | 87.43 | 87.58 | +0.2 % | ±6.37 | pass |
| switch/desktop/2.nalati-grasslands>driftwood-isle.loadingShown | 1 | 1 | +0.0 % |  | info |
| switch/desktop/2.nalati-grasslands>driftwood-isle.longTaskMaxMs | 466 | 465 | -0.2 % | ±119.9 | pass |
| switch/desktop/2.nalati-grasslands>driftwood-isle.ms | 1.98 | 1.94 | -1.8 % | ±0.35 | pass |
| switch/desktop/2.nalati-grasslands>driftwood-isle.navigated | 0 | 0 | +0 |  | info |
| switch/desktop/2.nalati-grasslands>driftwood-isle.netBytes | 0.00 | 0.00 | +0.00 | ±0.06 | pass |
| switch/desktop/3.driftwood-isle>pine-hollow.firstFrameMs | 3.55 | 3.18 | -10.5 % | ±0.50 | pass |
| switch/desktop/3.driftwood-isle>pine-hollow.glAllTexBytes | 1212.14 | 626.23 | -48.3 % | ±62.61 | better |
| switch/desktop/3.driftwood-isle>pine-hollow.glTexBytes | 1205.27 | 619.36 | -48.6 % | ±62.26 | better |
| switch/desktop/3.driftwood-isle>pine-hollow.heapBytes | 116.71 | 116.37 | -0.3 % | ±7.84 | pass |
| switch/desktop/3.driftwood-isle>pine-hollow.loadingShown | 1 | 1 | +0.0 % |  | info |
| switch/desktop/3.driftwood-isle>pine-hollow.longTaskMaxMs | 707 | 717 | +1.4 % | ±156.1 | pass |
| switch/desktop/3.driftwood-isle>pine-hollow.ms | 3.31 | 3.12 | -5.9 % | ±0.48 | pass |
| switch/desktop/3.driftwood-isle>pine-hollow.navigated | 0 | 0 | +0 |  | info |
| switch/desktop/3.driftwood-isle>pine-hollow.netBytes | 0.00 | 0.00 | +0.00 | ±0.06 | pass |
| switch/desktop/4.pine-hollow>nalati-grasslands.firstFrameMs | 2.94 | 2.79 | -5.1 % | ±0.44 | pass |
| switch/desktop/4.pine-hollow>nalati-grasslands.glAllTexBytes | 525.64 | 415.92 | -20.9 % | ±28.28 | better |
| switch/desktop/4.pine-hollow>nalati-grasslands.glTexBytes | 450.23 | 340.51 | -24.4 % | ±24.51 | better |
| switch/desktop/4.pine-hollow>nalati-grasslands.heapBytes | 143.24 | 143.46 | +0.2 % | ±9.16 | pass |
| switch/desktop/4.pine-hollow>nalati-grasslands.loadingShown | 1 | 1 | +0.0 % |  | info |
| switch/desktop/4.pine-hollow>nalati-grasslands.longTaskMaxMs | 309 | 307 | -0.6 % | ±96.4 | pass |
| switch/desktop/4.pine-hollow>nalati-grasslands.ms | 2.86 | 2.71 | -5.1 % | ±0.44 | pass |
| switch/desktop/4.pine-hollow>nalati-grasslands.navigated | 0 | 0 | +0 |  | info |
| switch/desktop/4.pine-hollow>nalati-grasslands.netBytes | 0.00 | 0.00 | +0.00 | ±0.06 | pass |
| switch/desktop/cacheStorageBytes | 124.52 | 271.53 | +118.1 % | ±1.31 | **REGRESS** |
| switch/desktop/prefetchBytes | 102211818 | 256291504 | +150.7 % |  | info |
| switch/phone/1.driftwood-isle>nalati-grasslands.firstFrameMs | 3.44 | 3.42 | -0.5 % | ±0.49 | pass |
| switch/phone/1.driftwood-isle>nalati-grasslands.glAllTexBytes | 136.13 | 136.13 | +0.0 % | ±8.81 | pass |
| switch/phone/1.driftwood-isle>nalati-grasslands.glTexBytes | 96.97 | 96.97 | +0.0 % | ±6.85 | pass |
| switch/phone/1.driftwood-isle>nalati-grasslands.heapBytes | 65.98 | 66.29 | +0.5 % | ±5.30 | pass |
| switch/phone/1.driftwood-isle>nalati-grasslands.loadingShown | 1 | 1 | +0.0 % |  | info |
| switch/phone/1.driftwood-isle>nalati-grasslands.longTaskMaxMs | 351 | 348 | -0.9 % | ±102.7 | pass |
| switch/phone/1.driftwood-isle>nalati-grasslands.ms | 3.35 | 3.37 | +0.7 % | ±0.49 | pass |
| switch/phone/1.driftwood-isle>nalati-grasslands.navigated | 0 | 0 | +0 |  | info |
| switch/phone/1.driftwood-isle>nalati-grasslands.netBytes | 0.00 | 0.00 | +0.00 | ±0.06 | pass |
| switch/phone/2.nalati-grasslands>driftwood-isle.firstFrameMs | 1.79 | 1.74 | -3.0 % | ±0.33 | pass |
| switch/phone/2.nalati-grasslands>driftwood-isle.glAllTexBytes | 117.56 | 117.56 | +0.0 % | ±7.88 | pass |
| switch/phone/2.nalati-grasslands>driftwood-isle.glTexBytes | 117.24 | 117.24 | +0.0 % | ±7.86 | pass |
| switch/phone/2.nalati-grasslands>driftwood-isle.heapBytes | 81.77 | 81.99 | +0.3 % | ±6.09 | pass |
| switch/phone/2.nalati-grasslands>driftwood-isle.loadingShown | 1 | 1 | +0.0 % |  | info |
| switch/phone/2.nalati-grasslands>driftwood-isle.longTaskMaxMs | 381 | 380 | -0.3 % | ±107.2 | pass |
| switch/phone/2.nalati-grasslands>driftwood-isle.ms | 1.69 | 1.70 | +0.3 % | ±0.32 | pass |
| switch/phone/2.nalati-grasslands>driftwood-isle.navigated | 0 | 0 | +0 |  | info |
| switch/phone/2.nalati-grasslands>driftwood-isle.netBytes | 0.00 | 0.00 | +0.00 | ±0.06 | pass |
| switch/phone/3.driftwood-isle>pine-hollow.firstFrameMs | 2.11 | 2.16 | +2.4 % | ±0.36 | pass |
| switch/phone/3.driftwood-isle>pine-hollow.glAllTexBytes | 279.05 | 279.05 | +0.0 % | ±15.95 | pass |
| switch/phone/3.driftwood-isle>pine-hollow.glTexBytes | 279.05 | 279.05 | +0.0 % | ±15.95 | pass |
| switch/phone/3.driftwood-isle>pine-hollow.heapBytes | 110.47 | 110.31 | -0.1 % | ±7.52 | pass |
| switch/phone/3.driftwood-isle>pine-hollow.loadingShown | 1 | 1 | +0.0 % |  | info |
| switch/phone/3.driftwood-isle>pine-hollow.longTaskMaxMs | 284 | 306 | +7.7 % | ±92.6 | pass |
| switch/phone/3.driftwood-isle>pine-hollow.ms | 1.89 | 1.96 | +3.8 % | ±0.34 | pass |
| switch/phone/3.driftwood-isle>pine-hollow.navigated | 0 | 0 | +0 |  | info |
| switch/phone/3.driftwood-isle>pine-hollow.netBytes | 0.00 | 0.00 | +0.00 | ±0.06 | pass |
| switch/phone/4.pine-hollow>nalati-grasslands.firstFrameMs | 2.58 | 2.55 | -1.1 % | ±0.41 | pass |
| switch/phone/4.pine-hollow>nalati-grasslands.glAllTexBytes | 136.13 | 136.13 | +0.0 % | ±8.81 | pass |
| switch/phone/4.pine-hollow>nalati-grasslands.glTexBytes | 96.97 | 96.97 | +0.0 % | ±6.85 | pass |
| switch/phone/4.pine-hollow>nalati-grasslands.heapBytes | 134.42 | 133.54 | -0.7 % | ±8.72 | pass |
| switch/phone/4.pine-hollow>nalati-grasslands.loadingShown | 1 | 1 | +0.0 % |  | info |
| switch/phone/4.pine-hollow>nalati-grasslands.longTaskMaxMs | 310 | 307 | -1.0 % | ±96.5 | pass |
| switch/phone/4.pine-hollow>nalati-grasslands.ms | 2.49 | 2.48 | -0.4 % | ±0.40 | pass |
| switch/phone/4.pine-hollow>nalati-grasslands.navigated | 0 | 0 | +0 |  | info |
| switch/phone/4.pine-hollow>nalati-grasslands.netBytes | 0.00 | 0.00 | +0.00 | ±0.06 | pass |
| switch/phone/cacheStorageBytes | 146.75 | 146.77 | +0.0 % | ±1.53 | pass |
| switch/phone/prefetchBytes | 126886451 | 126886451 | +0.0 % |  | info |

**10 row regressions**, 32 better, 244 within the band; **1 budget rule missed**.

### budget rules (scorecard.budget.json `rules`: enforced ones fail the compare, proposed ones only print)

| rule | row | baseline | now | limit | verdict |
|---|---|---|---|---|---|
| first-play cold transfer ≤ 1.5× today: Driftwood phone ≤ 30.1 MiB | driftwood-isle/phone/cold.netBytes | 20.79 | 20.79 | ≤ 30.14 | pass |
| first-play cold transfer ≤ 1.5× today: Driftwood desktop ≤ 31.6 MiB | driftwood-isle/desktop/cold.netBytes | 22.12 | 22.12 | ≤ 31.64 | pass |
| first-play cold transfer ≤ 1.5× today: Nalati phone ≤ 43.4 MiB | nalati-grasslands/phone/cold.netBytes | 29.96 | 29.96 | ≤ 43.44 | pass |
| first-play cold transfer ≤ 1.5× today: Nalati desktop ≤ 52.1 MiB | nalati-grasslands/desktop/cold.netBytes | 36.09 | 36.09 | ≤ 52.15 | pass |
| first-play cold transfer ≤ 1.5× today: Pine Hollow phone ≤ 53.8 MiB | pine-hollow/phone/cold.netBytes | 36.31 | 36.31 | ≤ 53.77 | pass |
| first-play cold transfer ≤ 1.5× today: Pine Hollow desktop ≤ 137.0 MiB | pine-hollow/desktop/cold.netBytes | 91.53 | 91.53 | ≤ 137.04 | pass |
| first-play cold transfer ≤ 1.5× the baseline (any row the explicit ones above miss) | driftwood-isle/phone/cold.netBytes | 20.79 | 20.79 | ≤ 1.5× = 31.19 | pass |
| first-play cold transfer ≤ 1.5× the baseline (any row the explicit ones above miss) | driftwood-isle/desktop/cold.netBytes | 22.12 | 22.12 | ≤ 1.5× = 33.18 | pass |
| first-play cold transfer ≤ 1.5× the baseline (any row the explicit ones above miss) | nalati-grasslands/phone/cold.netBytes | 29.96 | 29.96 | ≤ 1.5× = 44.94 | pass |
| first-play cold transfer ≤ 1.5× the baseline (any row the explicit ones above miss) | nalati-grasslands/desktop/cold.netBytes | 36.09 | 36.09 | ≤ 1.5× = 54.13 | pass |
| first-play cold transfer ≤ 1.5× the baseline (any row the explicit ones above miss) | pine-hollow/phone/cold.netBytes | 36.31 | 36.31 | ≤ 1.5× = 54.46 | pass |
| first-play cold transfer ≤ 1.5× the baseline (any row the explicit ones above miss) | pine-hollow/desktop/cold.netBytes | 91.53 | 91.53 | ≤ 1.5× = 137.30 | pass |
| total SW cache, all three shards ≤ 300 MB | switch/phone/cacheStorageBytes | 146.75 | 146.77 | ≤ 300.00 | pass |
| total SW cache, all three shards ≤ 300 MB | switch/desktop/cacheStorageBytes | 124.52 | 271.53 | ≤ 300.00 | pass |
| cold time-to-play no worse than today | driftwood-isle/phone/cold.playMs | 7.03 | 7.08 | ≤ 7.88 | pass |
| cold time-to-play no worse than today | driftwood-isle/desktop/cold.playMs | 7.66 | 7.81 | ≤ 8.57 | pass |
| cold time-to-play no worse than today | nalati-grasslands/phone/cold.playMs | 9.13 | 9.13 | ≤ 10.19 | pass |
| cold time-to-play no worse than today | nalati-grasslands/desktop/cold.playMs | 12.08 | 11.48 | ≤ 13.44 | pass |
| cold time-to-play no worse than today | pine-hollow/phone/cold.playMs | 10.68 | 10.60 | ≤ 11.89 | pass |
| cold time-to-play no worse than today | pine-hollow/desktop/cold.playMs | 28.45 | 27.96 | ≤ 31.45 | pass |
| cold time-to-play no worse than today, Fast 4G | driftwood-isle/phone/cold4g.playMs | 24.30 | 26.70 | ≤ 26.89 | pass |
| cold time-to-play no worse than today, Fast 4G | driftwood-isle/desktop/cold4g.playMs | 23.63 | 27.66 | ≤ 26.14 | **FAIL** |
| cold time-to-play no worse than today, Fast 4G | nalati-grasslands/phone/cold4g.playMs | 31.65 | 31.66 | ≤ 34.97 | pass |
| cold time-to-play no worse than today, Fast 4G | nalati-grasslands/desktop/cold4g.playMs | 37.76 | 37.61 | ≤ 41.68 | pass |
| cold time-to-play no worse than today, Fast 4G | pine-hollow/phone/cold4g.playMs | 35.18 | 35.20 | ≤ 38.85 | pass |
| cold time-to-play no worse than today, Fast 4G | pine-hollow/desktop/cold4g.playMs | 84.14 | 84.06 | ≤ 92.71 | pass |
| Driftwood cold time-to-play on 4G ≤ 30 s | driftwood-isle/phone/cold4g.playMs | 24.30 | 26.70 | ≤ 30.00 | pass |
| Driftwood cold time-to-play on 4G ≤ 30 s | driftwood-isle/desktop/cold4g.playMs | 23.63 | 27.66 | ≤ 30.00 | pass |
| Pine Hollow cold time-to-play on 4G ≤ 40 s (phone) | pine-hollow/phone/cold4g.playMs | 35.18 | 35.20 | ≤ 40.00 | pass |
| Nalati cold time-to-play on 4G ≤ 35.5 s (phone) | nalati-grasslands/phone/cold4g.playMs | 31.65 | 31.66 | ≤ 35.50 | pass |
| Nalati cold time-to-play on 4G ≤ 40.8 s (desktop) | nalati-grasslands/desktop/cold4g.playMs | 37.76 | 37.61 | ≤ 40.80 | pass |
| warm time-to-play: no worse (goal: improve) | driftwood-isle/phone/warm.playMs | 1.88 | 1.98 | ≤ 2.22 | pass · goal (improve): not yet |
| warm time-to-play: no worse (goal: improve) | driftwood-isle/desktop/warm.playMs | 2.26 | 2.18 | ≤ 2.63 | pass · goal (improve): not yet |
| warm time-to-play: no worse (goal: improve) | nalati-grasslands/phone/warm.playMs | 3.61 | 3.38 | ≤ 4.12 | pass · goal (improve): not yet |
| warm time-to-play: no worse (goal: improve) | nalati-grasslands/desktop/warm.playMs | 5.98 | 4.46 | ≤ 6.73 | pass · goal (improve): reached |
| warm time-to-play: no worse (goal: improve) | pine-hollow/phone/warm.playMs | 2.13 | 2.23 | ≤ 2.49 | pass · goal (improve): not yet |
| warm time-to-play: no worse (goal: improve) | pine-hollow/desktop/warm.playMs | 3.43 | 3.48 | ≤ 3.93 | pass · goal (improve): not yet |
| shard switch time: no worse (goal: improve) | switch/phone/1.driftwood-isle>nalati-grasslands.ms | 3.35 | 3.37 | ≤ 3.84 | pass · goal (improve): not yet |
| shard switch time: no worse (goal: improve) | switch/phone/2.nalati-grasslands>driftwood-isle.ms | 1.69 | 1.70 | ≤ 2.01 | pass · goal (improve): not yet |
| shard switch time: no worse (goal: improve) | switch/phone/3.driftwood-isle>pine-hollow.ms | 1.89 | 1.96 | ≤ 2.23 | pass · goal (improve): not yet |
| shard switch time: no worse (goal: improve) | switch/phone/4.pine-hollow>nalati-grasslands.ms | 2.49 | 2.48 | ≤ 2.88 | pass · goal (improve): not yet |
| shard switch time: no worse (goal: improve) | switch/desktop/1.driftwood-isle>nalati-grasslands.ms | 4.59 | 4.54 | ≤ 5.20 | pass · goal (improve): not yet |
| shard switch time: no worse (goal: improve) | switch/desktop/2.nalati-grasslands>driftwood-isle.ms | 1.98 | 1.94 | ≤ 2.33 | pass · goal (improve): not yet |
| shard switch time: no worse (goal: improve) | switch/desktop/3.driftwood-isle>pine-hollow.ms | 3.31 | 3.12 | ≤ 3.80 | pass · goal (improve): not yet |
| shard switch time: no worse (goal: improve) | switch/desktop/4.pine-hollow>nalati-grasslands.ms | 2.86 | 2.71 | ≤ 3.29 | pass · goal (improve): not yet |
| bytes re-downloaded after a one-texture change ≤ 4 MB | retouch/*/netBytes | | not measured | | n/a (enforced) |

